企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,浅井昭三郎,,Asai Shôzaburô
,,,
撮影,竹村康和,Photography,Takemura Yasukazu
録音,大角正夫,Recording,Ôsumi Masao
照明,加藤博也,Lighting,Katô Hiroya
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,池野成,Music,Ikeno Sei
,,,
編集,谷口孝司,Editing,Taniguchi Takashi
装置,木村重雄,Apparatus,Kimura Shigeo
擬斗,宮内昌平,Action,Miyauchi Shôhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,宮嶋八蔵,Assistant Director,Miyajima Hachikura
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,久保菜穂子,,Kubo Naoko
,渚まゆみ,,Nagisa Mayumi
,,,
,五味竜太郎,,Gomi Ryûtarô
,遠藤辰雄,,Endô Tatsuo
,杉田康,,Sugita Kô
,中村豊,,Nakamura Yutaka
,左卜全,,Hidari Bokuzen
,香川良介,,Kagawa Ryôsuke
,,,
,水原浩一,,Mizuhara Kôichi
,江田島隆,,Etajima Takashi
,南條新太郎,,Nanjô Shintarô
,三角八郎,,Misumi Hachirô
,舟木洋一,,Funaki Yôichi
,毛利郁子,,Môri Ikuko
,近江輝子,,Ômi Teruko
,,,
,浜田雄史,,Hamada Yûji
,玉置一恵,,Tamaki Kazue
,越川一,,Koshikawa Ichi
,藤川準,,Fujikawa Jun
,沖時男,,Oki Tokio
,春日清,,Kasuga Kiyoshi
,小林加奈枝,,Kobayashi Kanae
,,,
,千石泰三,,Sengoku Taizô
,福井隆次,,Fukui Ryûji
,三浦志郎,,Miura Shirô
,愛原光一,,Aihara Kôichi
,竹谷俊彦,,Takeya Toshihiko
,薮内武司,,Yabuuchi Takeshi
,森宏之,,Mori Hiroyuki
,三木正八郎,,Miki Shôhachirô
,松田剛武,,Matsuda Taketake
,,,
監督,池広一夫,Director,Ikehiro Kazuo
