原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,,,
撮影,森田富士郎,Photography,Morita Fujio
録音,海原幸夫,Recording,Kaibara Yukio
照明,美間博,Lighting,Mima Hiroshi
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,山田弘,Editing,Yamada Hiroshi
装置,吉見光男,Apparatus,Yoshimi Mitsuo
擬斗,楠本栄一,Action,Kusumoto Eiichi
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,中西忠三,Assistant Director,Nakanishi Chûzô
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,坪内ミキ子,,Tsubouchi Mikiko
,三木のり平,,Miki Norihei
,,,
,加藤武,,Katô Takeshi
,春本富士夫,,Harumoto Fujio
,倉田マユミ,,Kurata Mayumi
,小林幸子,,Kobayashi Sachiko
,平参平,,Taira Shinpei
,伊達三郎,,Date Saburô
,沢村宗之助,,Sawamura Sônosuke
,,,
,藤山浩二,,Fujiyama Kôji
,寺島雄作,,Terashima Yûsaku
,嵐三右ヱ門,,Arashi Tamiemon
,木村玄,,Kimura Gen
,堀北幸夫,,Horikita Yukio
,西岡弘善,,Nishioka Hiroyoshi
,千石泰三,,Sengoku Taizô
,伊井美貴,,Ii Miki
,,,
,森田健二,,Morita Kenji
,森内一夫,,Moriuchi Kazuo
,藤春保,,Fuji Haruyasu
,土本正文,,Tsuchimoto Masafumi
,美山晋八,,Miyama Shinpachi
,中野智永子,,Nakano Chieko
,三木本賀代,,Mikimoto Kayo
,美原沙知子,,Mihara Sachiko
,滝のぼる,,Taki Noboru
,,,
監督,井上昭,Director,Inoue Akira
