企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,高岩肇,Screenplay,Takaiwa Hajime
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
録音,海原幸夫,Recording,Kaibara Yukio
照明,中岡源権,Lighting,Nakaoka Gengon
美術,西岡善信,Art,Nishioka Yoshinobu
,,,
音楽,伊福部昭,Music,Ifukube Akira
編集,菅沼完二,Editing,Suganuma Kanji
擬斗,宮内昌平,Action,Miyauchi Shôhei
助監督,太田昭和,Assistant Director,Ôta Akikazu
製作主任,村井昭彦,Production Manager,Murai Akihiko
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,天知茂,,Amachi Shigeru
,小川真由美,,Ogawa Mayumi
,佐藤慶,,Satô Kei
,,,
,浜村純,,Hamamura Jun
,吉川満子,,Yoshikawa Mitsuko
,小村雪子,,Komura Yukiko
,東三千,,Azuma Michi
,町田政則,,Machida Masanori
,水原浩一,,Mizuhara Kôichi
,,,
,伊達三郎,,Date Saburô
,玉置一恵,,Tamaki Kazue
,堀北幸夫,,Horikita Yukio
,木村玄,,Kimura Gen
,藤川準,,Fujikawa Jun
,石原須磨男,,Ishihara Sumao
,西岡弘善,,Nishioka Hiroyoshi
,黒木英男,,Kuroki Hideo
,薮内武司,,Yabuuchi Takeshi
,谷口和子,,Taniguchi Kazuko
,,,
監督,田中徳三,Director,Tanaka Tokuzô
