id,slug,name,description,display_name,display_name,image_name
703,13-assassins-2010,Deguchi Genshirō,,Abe Shin'nosuke,,shinnosuke-abe-0.jpg
699,13-assassins-2010,Otsuya,,Fukiishi Kazue,,kazue-fukiishi-0.jpg
700,13-assassins-2010,Upashi,,Fukiishi Kazue,,kazue-fukiishi-1.jpg
690,13-assassins-2010,Sahara Heizō,,Furuta Arata,,arata-furuta-0.jpg
707,13-assassins-2010,Doi Toshitsura,,Hira Mikijirō,,mikijiro-hira-0.jpg
710,13-assassins-2010,Kitō Hanbei,,Ichimura Masachika,,masachika-ichimura-0.jpg
697,13-assassins-2010,Hirayama Kujūrō,,Ihara Tsuyoshi,,tsuyoshi-ihara-0.jpg
709,13-assassins-2010,Matsudaira Naritsugu,,Inagaki Gorō,,goro-inagaki-0.jpg
688,13-assassins-2010,Kiga Koyata,,Iseya Yūsuke,,yusuke-iseya-0.jpg
695,13-assassins-2010,Higuchi Gen'nai,,Ishigaki Yūma,,yuma-ishigaki-0.jpg
706,13-assassins-2010,Sanshūya Tokubei,,Kishibe Ittoku,,ittoku-kishibe-0.jpg
694,13-assassins-2010,Horii Yahachi,,Kondō Kōen,,koen-kondo-0.jpg
696,13-assassins-2010,Ogura Shōjirō,,Kubota Masataka,,masataka-kubota-0.jpg
698,13-assassins-2010,Kuranaga Saheita,,Matsukata Hiroki,,hiroki-matsukata-0.jpg
708,13-assassins-2010,Makino Yukie,,Matsumoto Kōshirō,,koshiro-matsumoto-0.jpg
705,13-assassins-2010,Asakawa Jūdayū,,Mitsuishi Ken,,ken-mitsuishi-0.jpg
693,13-assassins-2010,Ishizuka Rihei,,Namioka Kazuki,,kazuki-namioka-0.jpg
692,13-assassins-2010,Ōtake Mosuke,,Rokkaku Seiji,,seiji-rokkaku-0.jpg
702,13-assassins-2010,Makino Rino,,Saitō Takumi,,takumi-saito-0.jpg
689,13-assassins-2010,Mihashi Gunjirō,,Sawamura Ikki,,ikki-sawamura-0.jpg
