film slug,production committee slug
13-assassins-2010,thirteen-assassins-film-partners
20th-century-boys-1-the-beginning-of-the-end-2008,20th-century-boys-production-committee
20th-century-boys-2-the-last-hope-2009,20th-century-boys-production-committee
20th-century-boys-3-redemption-2009,20th-century-boys-production-committee
akira-1988,akira-committee
all-round-appraiser-q-the-eyes-of-mona-lisa-2014,all-round-appraiser-q-production-committee
always-sunset-on-third-street-2005,always-sunset-on-third-street-production-committee
always-sunset-on-third-street-2-2007,always-sunset-on-third-street-2-production-committee
always-sunset-on-third-street-3-2012,always-sunset-on-third-street-3-production-committee
attack-on-titan-2015,attack-on-titan-production-committee
attack-on-titan-end-of-the-world-2015,attack-on-titan-production-committee
azumi-2003,azumi-production-committee
azumi-2-death-or-love-2005,azumi-2-production-committee
ballad-2009,ballad-production-committee
battle-royale-2000,battle-royale-production-committee
casshern-2004,casshern-partners
death-note-2006,death-note-film-partners
death-note-light-up-the-new-world-2016,death-note-film-partners-2016
death-note-the-last-name-2006,death-note-film-partners
dororo-2007,dororo-production-committee
eternal-zero-2013,eternal-zero-production-committee
friends-naki-on-monster-island-2011,friends-naki-on-monster-island-production-committee
gamera-the-brave-2006,gamera-the-brave-production-committee
gantz-2011,gantz-film-partners
gantz-perfect-answer-2011,gantz-film-partners
gatchaman-2013,gatchaman-production-committee
genghis-khan-to-the-ends-of-the-earth-and-sea-2007,genghis-khan-to-the-ends-of-the-earth-and-sea-production-committee
glorious-team-batista-2008,glorious-team-batista-production-committee
gods-left-hand-devils-right-hand-2006,gods-left-hand-devils-right-hand-production-committee
goemon-2009,goemon-partners
hara-kiri-death-of-a-samurai-2011,hara-kiri-death-of-a-samurai-production-committee
howls-moving-castle-2004,howls-moving-castle-production-committee
i-am-a-hero-2016,i-am-a-hero-production-committee
juvenile-2000,juvenile-project
k-20-legend-of-the-mask-2008,k-20-production-committee
kaiji-2009,kaiji-production-committee
kaiji-2-2011,kaiji-2-production-committee
kamui-gaiden-2009,kamui-gaiden-production-committee
kikis-delivery-service-1989,kikis-delivery-service-production-committee
l-change-the-world-2008,l-film-partners
library-wars-2013,library-wars-movie-project
library-wars-the-last-mission-2015,library-wars-lm-movie-project
lovedeath-2007,lovedeath-production-committee
lupin-the-3rd-2014,lupin-the-3rd-production-committee
mushi-shi-2007,mushi-shi-film-project
one-missed-call-2003,one-missed-call-production-committee
one-missed-call-2-2005,one-missed-call-2-production-committee
one-missed-call-final-2006,one-missed-call-final-production-committee
onmyoji-2001,onmyoji-production-committee
onmyoji-ii-2003,onmyoji-ii-production-committee
parasyte-part-1-2014,parasyte-production-committee
parasyte-part-2-2015,parasyte-production-committee
platinum-data-2013,platinum-data-production-committee
ponyo-2008,ponyo-production-committee
porco-rosso-1992,porco-rosso-production-committee
princess-blade-2001,princess-blade-production-committee
princess-mononoke-1997,princess-mononoke-production-committee
spiral-1998,ring-spiral-production-committee
rescue-wings-2008,rescue-wings-production-committee
returner-2002,returner-film-partners
ring-1998,ring-spiral-production-committee
ring-0-birthday-2000,ring-0-birthday-production-committee
ring-2-1999,ring-2-production-committee
rurouni-kenshin-2012,rurouni-kenshin-production-committee
rurouni-kenshin-kyoto-inferno-2014,rurouni-kenshin-kyoto-inferno-production-committee
rurouni-kenshin-the-legend-ends-2014,rurouni-kenshin-the-legend-ends-production-committee
samurai-commando-mission-1549-2005,samurai-commando-mission-1549-production-committee
shinobi-heart-under-blade-2005,shinobi-partners
sinking-of-japan-2006,sinking-of-japan-production-committee
sky-crawlers-2008,sky-crawlers-production-committee
sky-high-2003,skyhigh-film-project
space-battleship-yamato-2010,space-battleship-yamato-production-committee
spirited-away-2001,spirited-away-production-committee
stand-by-me-doraemon-2014,stand-by-me-doraemon-production-committee
sword-of-alexander-2007,sword-of-alexander-production-committee
tetsujin-28-2005,t-28-project
top-secret-murder-in-mind-2016,top-secret-production-committee
triumphant-return-of-general-rouge-2009,triumphant-return-of-general-rouge-production-committee
tsubaki-sanjuro-2007,tsubaki-sanjuro-production-committee
ultraman-the-next-2004,ultraman-production-committee
wind-rises-2013,wind-rises-production-committee
