sawamura-sonosuke,澤村宗之助
yamamura-so,山村聰
ueda-kichijiro,上田吉二郎
ai-kyoko,愛京子
hoshi-yuriko,星由里子
furness-george-a,ジョージ・ファーネス
nakamura-ganjiro,中村鴈治郎
shiozawa-toki,塩沢とき
uemura-kenjiro,植村謙二郎
kubo-akira,久保明
katsube-yoshio,勝部義夫
nomura-kozo,野村浩三
sawamura-ikio,沢村いき雄
hinata-kazuo,日方一夫
sada-yutaka,佐田豊
wakabayashi-akiko,若林映子
onda-seijiro,恩田清二郎
sahara-kenji,佐原健二
hama-mie,浜美枝
maruyama-kenichiro,丸山謙一郎
miki-norihei,三木のり平
tajima-yoshibumi,田島義文
kondo-keiko,近藤圭子
sekita-hiroshi,関田裕
nakakita-chieko,中北千枝子
mukai-junichiro,向井淳一郎
tazaki-jun,田崎潤
gondo-yukihiko,権藤幸彦
kawazu-seizaburo,河津清三郎
hughes-andrew,アンドリュウ・ヒューズ
kusakawa-naoya,草川直也
maeda-beverly,前田美波里
sato-makoto,佐藤允
shimura-takashi,志村喬
ito-hisaya,伊藤久哉
tabu-kenzo,田武謙三
echigo-ken,越後憲
hodgson-william-hope,ウイリアム・ホープ・ホジスン
nakamaru-tadao,中丸忠雄
uno-koji,宇野晃司
arishima-ichiro,有島一郎
kagawa-kyoko,香川京子
tezuka-katsumi,手塚勝巳
murakami-fuyuki,村上冬樹
nakayama-yutaka,中山豊
saijo-yasuhiko,西條康彦
sunazuka-hideo,砂塚秀夫
hasegawa-hiroshi,長谷川弘
rankin-arthur,アーサー・ランキン
nakamura-nobuo,中村伸郎
mifune-toshiro,三船敏郎
sanjo-miki,三條美紀
okabe-tadashi,岡部正
kato-shigeo,加藤茂雄
shibuya-hideo,渋谷英男
taniguchi-senkichi,谷口千吉
tani-akira,谷晃
tsutsumi-yasuhisa,堤康久
miller-linda,リンダ・ミラー
inagaki-hiroshi,稲垣浩
hirata-akihiko,平田昭彦
ishida-shigeki,石田茂樹
omae-wataru,大前亘
yanagiya-kingoro,柳家金語楼
kurosawa-toshio,黒沢年雄
mishima-ko,三島耕
dunham-robert,ロバート・ダンハム
matsubayashi-shue,松林宗惠
sekizawa-shinichi,関沢新一
asahiyo-taro,朝潮太郎
takashima-tadao,高島忠夫
tsuruta-koji,鶴田浩二
ubukata-soji,生方壮児
ozawa-eitaro,小沢栄太郎
tsukasa-yoko,司葉子
hirose-shoichi,広瀬正一
funato-jun,船戸順
ogata-rinsaku,緒方燐作
mizuno-kumi,水野久美
tsuchiya-shiro,土屋詩朗
tanaka-tomoyuki,田中友幸
takarada-akira,宝田明
sakai-frankie,フランキー堺
sato-masaru,佐藤勝
kosugi-yoshio,小杉義男
kobayashi-keiju,小林桂樹
suzuki-kazuo,鈴木和夫
miyazaki-hayao,宮崎駿
fukuda-jun,福田純
ito-jerry,ジェリー・伊藤
okawa-henry,ヘンリー大川
uehara-misa,上原美佐
shinohara-masaki,篠原正記
mutsumi-goro,睦五朗
koizumi-hiroshi,小泉博
ito-emi,伊藤エミ
sera-akira,瀬良明
shimizu-gen,清水元
sakakida-keiji,榊田敬二
ito-yumi,伊藤ユミ
honda-ishiro,本多猪四郎
yachigusa-kaoru,八千草薫
iketani-saburo,池谷三郎
imaizumi-ren,今泉廉
ito-minoru,伊藤実
nakano-teruyoshi,中野昭慶
shimozawa-kan,子母沢寛
fujiyama-yoko,藤山陽子
yusuf-osman,オスマン・ユセフ
kimura-takeshi,木村武
sugimura-haruko,杉村春子
kawai-kenji,川井憲次
yamada-keisuke,山田圭介
kusama-akio,草間璋夫
yamamoto-ren,山本廉
chiaki-minoru,千秋実
kodo-kuninori,高堂国典
kayama-shigeru,香山滋
little-man-machan,小人のマーチャン
kato-haruya,加藤春哉
oda-motoyoshi,小田基義
matsumura-tatsuo,松村達雄
otomo-shin,大友伸
okami-jojiro,丘美丈二郎
ifukube-akira,伊福部昭
sata-keiko,佐多契子
sawai-keiko,沢井桂子
fujiki-yu,藤木悠
reason-rhodes,ローズ・リーズン
kobayashi-yukiko,小林夕岐子
kouchi-momoko,河内桃子
tsubono-kamayuki,坪野鎌之
otowa-nobuko,乙羽信子
kuno-seishiro,久野征四郎
natsuki-junpei,夏木順平
tamblyn-russ,ラス・タンブリン
peanuts,ザ・ピーナッツ
mihashi-tatsuya,三橋達也
uehara-ken,上原謙
oka-yutaka,岡豊
sonoda-ayumi,園田あゆみ
wakamatsu-akira,若松明
tanaka-kinuyo,田中絹代
onoue-katsuro,尾上克郎
