Orginal,Year,Category,Order,People,Films,Original
1,1946,日本映画大賞,0,,或る夜の殿様,
1,1946,大衆賞,1,,或る夜の殿様,大衆賞	「或る夜の殿様」東宝
1,1946,監督賞,2,今井正,民衆の敵,監督賞	今井 正「民衆の敵」東宝
1,1946,脚本賞,3,久板栄二郎,大曽根家の朝,脚本賞	久板栄二郎「大曽根家の朝」松竹
1,1946,演技賞,4,小沢栄太郎,大曽根家の朝,演技賞	小沢栄太郎「大曽根家の朝」松竹
1,1946,撮影賞,5,立花幹也,檜舞台,撮影賞	立花幹也「檜舞台」東宝
1,1946,音楽賞,6,早坂文雄,民衆の敵,音楽賞	早坂文雄「民衆の敵」東宝
2,1947,日本映画大賞,0,,今ひとたびの,
2,1947,監督賞,1,黒澤明,素晴らしき日曜日,監督賞	黒澤 明「素晴らしき日曜日」東宝
2,1947,脚本賞,2,森雅之,素晴らしき日曜日,脚本賞	森 雅之「素晴らしき日曜日」東宝
2,1947,男優演技賞,3,小沢栄太郎,安城家の舞踏会,男優演技賞	小沢栄太郎「安城家の舞踏会」松竹
2,1947,女優演技賞,4,田中絹代,"結婚,女優須磨子の恋,不死鳥",女優演技賞	田中絹代「結婚」松竹、「女優須磨子の恋」松竹、「不死鳥」松竹
2,1947,新人演技賞,5,若山セツ子,おスミの持参金,新人演技賞	若山セツ子「おスミの持参金」東宝
2,1947,撮影賞,6,三浦光雄,今ひとたびの,撮影賞	三浦光雄「今ひとたびの」東宝
2,1947,美術賞,7,松山崇,今ひとたびの,美術賞	松山 崇「今ひとたびの」東宝
2,1947,音楽賞,8,早坂文雄,女優,音楽賞	早坂文雄「女優」東宝
2,1947,録音賞,9,安恵重遠,女優,録音賞	安恵重遠「女優」東宝
3,1948,日本映画大賞,0,,酔いどれ天使,
3,1948,監督賞,1,木下恵介,"女,肖像,破戒",監督賞	木下恵介「女」松竹、「肖像」松竹、「破戒」松竹
3,1948,脚本賞,2,伊丹万作,手をつなぐ子等,脚本賞	伊丹万作「手をつなぐ子等」大映
3,1948,男優演技賞,3,笠智衆,手をつなぐ子等,男優演技賞	笠 智衆「手をつなぐ子等」大映
3,1948,女優演技賞,4,田中絹代,"夜の女たち,風の中の牝鶏",女優演技賞	田中絹代「夜の女たち」松竹、「風の中の牝鶏」松竹
3,1948,助演賞,5,宇野重吉,"わが生涯のかがやける日,破戒",助演賞	宇野重吉「わが生涯のかがやける日」松竹、「破戒」松竹
3,1948,撮影賞,6,伊藤武夫,酔いどれ天使,撮影賞	伊藤武夫「酔いどれ天使」東宝
3,1948,美術賞,7,浜田辰雄,"わが生涯のかがやける日,風の中の牝鶏",美術賞	浜田辰雄「わが生涯のかがやける日」松竹、「風の中の牝鶏」松竹
3,1948,音楽賞,8,早坂文雄,"酔いどれ天使,虹を抱く処女,富士山頂",音楽賞	早坂文雄「酔いどれ天使」東宝、「虹を抱く処女」東宝、「富士山頂」東宝
3,1948,録音賞,9,大村三郎,わが生涯のかがやける日,録音賞	大村三郎「わが生涯のかがやける日」松竹
3,1948,特別賞,10,,,特別賞	清水 宏「蜂の巣の子供たち」蜂の巣プロ
4,1949,日本映画大賞,0,,晩春,
4,1949,監督賞,1,小津安二郎,晩春,監督賞	小津安二郎「晩春」松竹
4,1949,脚本賞,2,"野田高梧,小津安二郎",晩春,脚本賞	野田高梧、小津安二郎「晩春」松竹
4,1949,男優演技賞,3,志村喬,"静かなる決闘,野良犬",男優演技賞	志村 喬「静かなる決闘」大映、「野良犬」新東宝
4,1949,女優演技賞,4,原節子,"お嬢さん乾杯,青い山脈,晩春",女優演技賞	原 節子「お嬢さん乾杯」松竹、「青い山脈」東宝、「晩春」松竹
4,1949,助演賞,5,木暮実千代,青い山脈,助演賞	木暮実千代「青い山脈」東宝
4,1949,撮影賞,6,中井朝一,"青い山脈,野良犬",撮影賞	中井朝一「青い山脈」東宝、「野良犬」新東宝
4,1949,美術賞,7,松山崇,野良犬,美術賞	松山 崇「野良犬」新東宝
4,1949,音楽賞,8,早坂文雄,野良犬,音楽賞	早坂文雄「野良犬」新東宝
4,1949,録音賞,9,神谷正和,グッド・バイ,録音賞	神谷正和「グッド・バイ」新東宝
4,1949,教育文化映画賞,10,,,教育文化映画賞	「こんこん鳥物語」東宝教育映画
4,1949,特別賞,11,,,特別賞	小雀劇団　ともだち劇団　手をつなぐ子等グループ「忘れられた子等」新東宝
5,1950,日本映画大賞,0,,また逢う日まで,
5,1950,監督賞,1,吉村公三郎,偽れる盛装,監督賞	吉村公三郎「偽れる盛装」大映
5,1950,脚本賞,2,新藤兼人,偽れる盛装,脚本賞	新藤兼人「偽れる盛装」大映
5,1950,男優演技賞,3,佐分利信,"執行猶予,帰郷",男優演技賞	佐分利 信「執行猶予」東映、「帰郷」松竹
5,1950,女優演技賞,4,京マチ子,"偽れる盛装,羅生門",女優演技賞	京 マチ子「偽れる盛装」大映、「羅生門」大映
5,1950,助演賞,5,山村聡,"帰郷,宗方姉妹,大利根の夜霧",助演賞	山村 聡「帰郷」松竹、「宗方姉妹」新東宝、「大利根の夜霧」新東宝
5,1950,撮影賞,6,三村明,暁の脱走,撮影賞	三村 明「暁の脱走」新東宝
5,1950,美術賞,7,水谷浩,偽れる盛装,美術賞	水谷 浩「偽れる盛装」大映
5,1950,音楽賞,8,"吉沢博,黛敏郎",帰郷,音楽賞	吉沢 博、黛 敏郎「帰郷」松竹
5,1950,録音賞,9,神谷正和,"暁の脱走,雪夫人絵図",録音賞	神谷正和「暁の脱走」新東宝、「雪夫人絵図」新東宝
