production committee slug,display name,studio slugs
thirteen-assassins-film-partners,“Thirteen Assassins” Film Partners,"tv-asahi, toho, sedic-international, dentsu, shogakukan, recorded-picture-company, asahi-shimbun, asahi-broadcasting-corporation, nagoya-broadcasting-network, kyushu-asahi-broadcasting, hokkaido-television-broadcasting, yahoo-japan, tsutaya-group, higashi-nippon-broadcasting, shizuoka-asahi-television, hiroshima-home-television"
20th-century-boys-production-committee,“20th Century Boys” Production Committee,"nippon-television-network, shogakukan, toho, vap, yomiuri-telecasting-corporation, dentsu, yomiuri-shimbun, cine-bazar, office-crescendo, d-rights, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system"
akira-committee,Akira Committee,"kodansha, mainichi-broadcasting-system, bandai, hakuhodo, toho, laserdisc, sumitomo-corporation, tokyo-movie-shinsha"
all-round-appraiser-q-production-committee,“All-Round Appraiser Q” Production Committee,"tokyo-broadcasting-system, kadokawa, toho, horipro, dentsu, twins-japan, mainichi-broadcasting-system, cbc-television, wowow, rkb-mainichi-broadcasting, hokkaido-broadcasting, gyao"
always-sunset-on-third-street-production-committee,“Always: Sunset on Third Street” Production Committee,"nippon-television-network, sapporo-television-broadcasting, miyagi-television-broadcasting, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, robot-communications, shogakukan, vap, toho, dentsu, yomiuri-telecasting-corporation, yomiuri-shimbun, shirogumi, imagica"
always-sunset-on-third-street-2-production-committee,“Always: Sunset on Third Street 2” Production Committee,"nippon-television-network, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, robot-communications, shogakukan, vap, toho, dentsu, yomiuri-telecasting-corporation, yomiuri-shimbun, shirogumi, imagica"
always-sunset-on-third-street-3-production-committee,“Always: Sunset on Third Street 3” Production Committee,"nippon-television-network, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, robot-communications, shogakukan, vap, toho, dentsu, yomiuri-telecasting-corporation, abe-shuji, yomiuri-shimbun, shirogumi"
attack-on-titan-production-committee,“Attack on Titan” Production Committee,"toho, kodansha, dentsu, amuse, horipro, hakuhodo-dy-media-partners, jr-east-marketing-and-communications, kddi, yomiuri-shimbun, asahi-shimbun, nippan-group-holdings, gyao, tokyo-fm"
azumi-production-committee,“Azumi” Production Committee,"nippon-herald-films, tokyo-broadcasting-system, dentsu, shogakukan, amuse, toho, imagica, sedic-international, tristone-entertainment"
azumi-2-production-committee,“Azumi 2” Production Committee,"nippon-herald-films, tokyo-broadcasting-system, dentsu, shogakukan, toshiba-entertainment, amuse-soft-entertainment, toho, imagica, sedic-international, tristone-entertainment"
ballad-production-committee,“Ballad” Production Committee,"tv-asahi, robot-communications, toho, j-dream, dentsu, adk, lespros-entertainment, shin-ei-animation, futabasha, shogakukan, shirogumi, asahi-shimbun, nagoya-broadcasting-network"
battle-royale-production-committee,“Battle Royale” Production Committee,"toei, am-associates, hiromi, nippan-group-holdings, media-factory, wowow, gaga-communications"
casshern-partners,“Casshern” Partners,"shochiku, progressive-pictures, electric-ghost, eisei-gekijo, tv-asahi, asahi-shimbun, takara, itochu, tokyo-fm, e-solutions, ryowa-life-create, big-shot"
death-note-film-partners,“Death Note” Film Partners,"nippon-television-network, sapporo-television-broadcasting, miyagi-television-broadcasting, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, shueisha, horipro, yomiuri-telecasting-corporation, vap, konami-digital-entertainment, shochiku, nikkatsu"
death-note-film-partners-2016,"“Death Note"" Film Partners","nippon-television-network, shueisha, horipro, warner-bros, shochiku, yomiuri-telecasting-corporation, vap, nikkatsu, dentsu, hulu, dn-dream-partners, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system"
dororo-production-committee,“Dororo” Production Committee,"tokyo-broadcasting-system, universal-pictures-japan, dentsu, mainichi-broadcasting-system, chukyo-tv-broadcasting, stardust-pictures, twins-japan, rkb-mainichi-broadcasting, yahoo-japan, wowow, hokkaido-broadcasting, asahi-shimbun, tokyo-asa-association"
eternal-zero-production-committee,“Eternal Zero” Production Committee,"toho, amuse, amuse-soft-entertainment, dentsu, robot-communications, shirogumi, abe-shuji, j-storm, ohta-publishing, kodansha, futabasha, asahi-shimbun, nikkei, kddi, tokyo-fm, nippan-group-holdings, gyao, chunichi-shimbun, nishinippon-shimbun"
friends-naki-on-monster-island-production-committee,“Friends: Naki on Monster Island” Production Committee,"toho, shogakukan, tv-asahi, j-dream, robot-communications, shirogumi, sony-music-entertainment, hakuhodo-dy-media-partners, t-arts, yahoo-japan, abe-shuji"
gamera-the-brave-production-committee,“Gamera the Brave” Production Committee,"kadokawa-herald-pictures, japan-film-fund, nippon-television-network, yahoo-japan"
gantz-film-partners,“Gantz” Film Partners,"nippon-television-network, shueisha, toho, j-storm, horipro, vap, yomiuri-telecasting-corporation, yomiuri-shimbun, nikkatsu, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system"
gatchaman-production-committee,“Gatchaman” Production Committee,"nippon-television-network, nikkatsu, toho, yomiuri-telecasting-corporation, vap, tomy, tatsunoko, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system"
genghis-khan-to-the-ends-of-the-earth-and-sea-production-committee,“Genghis Khan: To the Ends of the Earth and Sea” Production Committee,"kadokawa-haruki-corporation, avex-entertainment, shochiku, fields, tokyo-fm, yomiuri-shimbun, yahoo-japan, japan-airlines, his, t-and-m, sougei, heartis-inc, smart-ex, genki-shobou, japan-fm-network"
glorious-team-batista-production-committee,“The Glorious Team Batista” Production Committee,"tokyo-broadcasting-system, toho, konomys-award-union, mainichi-broadcasting-system, cbc-television, rkb-mainichi-broadcasting, hokkaido-broadcasting, stardust-pictures, asahi-shimbun, tc-entertainment, crossmedia"
triumphant-return-of-general-rouge-production-committee,“The Triumphant Return of General Rouge” Production Committee,"tokyo-broadcasting-system, toho, konomys-award-union, mainichi-broadcasting-system, stardust-pictures, cbc-television, rkb-mainichi-broadcasting, hokkaido-broadcasting, asahi-shimbun, tc-entertainment, crossmedia"
gods-left-hand-devils-right-hand-production-committee,"“God’s Left Hand, Devil’s Right Hand” Production Committee","toshiba-entertainment, shochiku, eisei-gekijo"
goemon-partners,“Goemon” Partners,"shochiku, warner-bros, daichi-shokai, kinoshita-group, eisei-gekijo, kiriya-pictures, cell, tv-asahi, dentsu, yoshimoto-kogyo, dreamkid, hot-toys, avex-entertainment"
hara-kiri-death-of-a-samurai-production-committee,“Hara-Kiri: Death of a Samurai” Production Committee,"sedic-international, dentsu, shochiku, kodansha, recorded-picture-company, olm, yamanashi-nichinichi-shimbun, yamanashi-broadcasting-system, amuse-soft-entertainment, asahi-shimbun, yahoo-japan"
howls-moving-castle-production-committee,“Howl’s Moving Castle” Production Committee,"tokuma-shoten, nippon-television-network, dentsu, buena-vista-home-entertainment, d-rights, toho"
i-am-a-hero-production-committee,“I Am A Hero” Production Committee,"toho, avex-pictures, shogakukan, dentsu, wowow, hakuhodo-dy-media-partners, jr-east-marketing-and-communications, kddi, tokyo-fm, nippan-group-holdings, shogakukan-shueisha-productions, hikari-tv, gyao"
juvenile-project,Juvenile Project,"fuji-television-network,media-factory,shogakukan,imagica, mitsui, jr-east-marketing-and-communications, shirogumi, robot-communications"
k-20-production-committee,K-20 Production Committee,"nippon-television-network, sapporo-television-broadcasting,miyagi-television-broadcasting,shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, robot-communications, vap, toho, dentsu, shogakukan, yomiuri-telecasting-corporation, yomiuri-shimbun, shirogumi, imagica"
kaiji-production-committee,“Kaiji” Production Committee,"nippon-television-network, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, horipro, toho, yomiuri-telecasting-corporation, vap, dn-dream-partners, kodansha, hint"
kaiji-2-production-committee,“Kaiji 2” Production Committee,"nippon-television-network, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, horipro, toho, yomiuri-telecasting-corporation, vap, dn-dream-partners, kodansha, hint"
kamui-gaiden-production-committee,“Kamui Gaiden” Production Committee,"shochiku, total, shogakukan, eisei-gekijo, horipro, kinoshita-group, shogakukan-shueisha-productions, yahoo-japan, optrom"
kikis-delivery-service-production-committee,“Kiki’s Delivery Service” Production Committee,"tokuma-shoten, yamato-transport, nippon-television-network"
l-film-partners,“L” Film Partners,"nippon-television-network, sapporo-television-broadcasting, miyagi-television-broadcasting, shizuoka-daiichi-television, chukyo-tv-broadcasting, hiroshima-television-corporation, fukuoka-broadcasting-system, shueisha, horipro, yomiuri-telecasting-corporation, vap, shochiku, warner-bros, nikkatsu "
