slug,cause
adams-nick,Drug Overdose
amamoto-hideyo,Pneumonia
anzai-kyoko,Liver Failure
arikawa-sadamasa,Lung Cancer
arishima-ichiro,Heart Failure
asahiyo-taro,Cerebral Hemorrhage
chiaki-minoru,Cardiac Arrest
dan-ikuma,Heart Failure
dunham-robert,Thrombosis
enomoto-kenichi,Cirrhosis
fujiki-yu,Pulmonary Embolism
fujita-susumu,Liver Cancer
fujiyama-yoko,Subarachnoid Hemorrhage
fukuda-jun,Lung Cancer
funato-jun,Lung Cancer
hara-setsuko,Pneumonia
hirata-akihiko,Lymphangiectasia
hodgson-william-hope,Artillery Shell Impact
honda-ishiro,Respiratory Failure
hoshi-yuriko,Lung Cancer
ifukube-akira,Intestinal Obstruction
ikebe-ryo,Sepsis
iketani-saburo,Pneumonia
inagaki-hiroshi,Cirrhosis
inoue-yasuyuki,Heart Failure
ito-jerry,Pneumonia
kato-daisuke,Colon Cancer
kato-shigeo,Chronic Renal Failure
kawazu-seizaburo,Laryngeal Cancer
kayama-shigeru,Heart Failure
kobayashi-keiju,Heart Failure
kobayashi-tetsuko,Lung Cancer
koizumi-hiroshi,Pneumonia
koseki-yuji,Cerebral Infarction
kouchi-momoko,Colon Cancer
kurosawa-akira,Stroke
matsubayashi-shue,Heart Failure
matsumura-tatsuo,Heart Failure
mifune-toshiro,Multiple Organ Failure
mihashi-tatsuya,Myocardial Infarction
miki-norihei,Liver Tumor
miyauchi-kunio,Colon Cancer
murakami-fuyuki,Stomach Cancer
mutsumi-goro,Pneumonia
nakajima-haruo,Pneumonia
nakakita-chieko,Myocardial Infarction
nakamaru-tadao,Aneurysm
nakamura-nobuo,Heart Failure
nakamura-tetsu,Heart Failure
nakano-teruyoshi,Sepsis
natsuki-yosuke,Renal Cell Carcinoma
nihei-masanari,Pneumonia
okawa-henry,Cerebral Hemorrhage
oshikawa-shunro,Meningitis
otowa-nobuko,Cirrhosis
ozawa-eitaro,Lung Cancer
reason-rhodes,Lymphoma
sakai-frankie,Liver Failure
sanjo-miki,Heart Failure
sasaki-takamaru,Heart Failure
sato-makoto,Pneumonia
sato-masaru,Heart Failure
sawamura-ikio,Heart Failure
sawamura-sonosuke,Diabetes
sekizawa-shinichi,Myocardial Infarction
senda-koreya,Liver Cancer
shimizu-gen,Stomach Cancer
shimozawa-kan,Myocardial Infarction
shimura-takashi,Chronic Emphysema
shiozawa-toki,Gastric Cancer
shirakawa-yumi,Heart Failure
sugimura-haruko,Pancreatic Cancer
tabu-kenzo,Brain Tumor
tajima-yoshibumi,Esophageal Cancer
takada-minoru,Liver Cancer
tanaka-kinuyo,Brain Tumor
tanaka-tomoyuki,Cerebral Infarction
tani-akira,Suicide
taniguchi-senkichi,Pneumonia
tazaki-jun,Lung Cancer
tomita-nakajiro,Heart Failure
tono-eijiro,Heart Failure
tsuburaya-eiji,Angina
tsuchiya-yoshio,Lung Cancer
tsuruta-koji,Lung Cancer
ueda-kichijiro,Laryngeal Cancer
uehara-ken,Heart Failure
uemura-kenjiro,Dueodenal Perforation
wakayama-setsuko,Suicide
yachigusa-kaoru,Pancreatic Cancer
yamamoto-ren,Cerebral Hemorrhage
yamamura-so,Myocardial Infarction
yanagiya-kingoro,Stomach Cancer
